AGE295214,age65plus
25.2,13.8
22.2,18.7
21.2,16.5
21,14.8
23.6,17
21.4,14.9
23.6,18
22.2,16
21.4,18.3
20.4,20.9
24.2,15.2
20.6,20.8
22.6,18
21.6,19.4
23.3,18.4
23.7,15.9
21.7,18.5
21.4,20.4
18.3,18.5
22.1,19.8
22.7,18
22.5,17.6
23.6,15.4
25.2,15.6
24.7,15.7
23,14
22,16.7
22.1,17.3
21.7,19.6
24.3,15.9
22.2,19.2
23.3,17.9
23.3,17.3
21.2,20.8
23.7,16.1
21.7,18.6
23.1,14.3
21.7,20.5
20.5,18.2
21.7,16.8
21.6,10.3
23.4,13.8
23.1,17.4
18.3,16.8
22.4,13.7
23,18.6
21.2,20.1
24.5,16.3
24,14.5
23.4,17.9
24,13.3
23.1,15.9
22.4,17.9
20.5,17.8
19.4,14.1
22,19.6
25.3,12.5
24.4,13
23,15.3
19.7,16.3
22.3,16.1
21.1,19.6
21.1,11.7
22.1,18.2
22.5,17
24.8,17.7
20.9,20
23,17.5
23.6,18.4
17.8,30
27,13
22.6,19.8
23.4,18.3
18.1,19.8
22.1,21.1
23.2,19.2
19.2,16.1
20.4,21.4
19.8,25.4
23.4,19.1
21.6,16.6
23.1,18.3
24.9,13
25.1,15.3
27.9,12.1
24,17.6
22.3,20.5
25.6,17.1
22.4,16.1
23.9,11.2
23.6,18
20.4,25.4
20.9,21.7
23.5,16.1
24.6,15
26.4,16.3
21.6,17.2
26.1,16.9
24,17
18.2,25
20.4,16.7
23.3,15.1
24.8,15.8
20.2,21.5
22.6,19.3
19.6,16.7
17.8,13.5
22.2,19.5
22.4,19.2
26.4,12.6
23.5,17.5
17.3,26.8
24.1,15.2
26.7,13.4
21.2,20.3
19.2,25.4
22.7,19.4
19.5,24.3
23,18.3
22.1,17.9
27.2,16.3
22.8,18.6
23.7,17.1
23.4,21.7
22.8,14.4
20.2,22
23.7,13.5
22.5,19.9
23.8,17.1
23.6,18.7
20.3,23.6
24.5,14.5
28.8,13.6
20.4,25.7
22.5,13.9
20.1,25.4
23.9,16.6
19.7,24.6
25.3,10.7
23.8,15.1
21.9,21.2
25.1,17.1
29.3,13.5
22.4,19.9
21.8,11.1
20.4,26.6
28.3,12.3
28.1,11.6
17.4,36.1
25.1,13.8
18.7,26.9
28,15.8
21.9,17.7
24.4,18
28.3,15.8
17.4,28.1
26.2,17.4
21.4,12.5
20,21.1
15.3,25.1
20.2,17
17.7,25.1
28,13.1
23.4,14.2
21.2,15.6
20.9,18
28.9,11.2
26.7,14.9
19.5,15.4
28.5,12
20.6,21.4
29.4,9.9
27.5,9.1
20.4,20.6
17,12.5
22.8,12.2
27.6,12.8
20.5,19.4
16.7,24.5
21.9,18.9
30,10.5
20.1,23.2
19.5,11.8
26.4,12
21.8,16.8
17.8,23.4
23,13.1
22.9,17.8
17.2,24.7
26.3,13.2
24.4,12.8
26.8,11.4
27.2,10.3
22.3,12.7
13.4,14.4
27.8,11.8
18.1,17.5
21.5,14.7
22.4,14
23.1,12.2
20.1,13.5
21.6,19.2
15.7,26.8
20.3,22.7
22.9,13.5
20.6,16.7
27.3,12.1
26.4,14.5
24,17.8
16.9,24
31.6,10.4
16.8,23.5
24.2,13.6
21.7,11.5
27.8,11.4
27.7,9.6
23.9,12.6
24.5,11.9
18.3,22.9
21.3,25.7
16.2,16.9
20.3,12.2
24.7,12.2
15.8,23
25,18.2
15.4,17.9
27.1,17.4
18.2,25.8
14.3,13
14.6,29
20.9,23.5
20.9,10.9
20.4,22
28.3,9.9
23.2,8.1
22.5,13.9
25.1,11.5
16.5,20.3
25.9,10.7
18.7,13.2
18.4,13.9
17.9,11.2
18.7,25.7
15.5,29.7
17.8,20.9
20.9,14.7
20.5,24.1
22.5,17.2
23.1,11
19.4,14.2
20.5,13.9
19,22.3
19.7,17.4
18.8,15.7
22.4,16.9
12.6,26.5
25.9,12.9
22.7,19.1
22.5,21.3
26.4,15.4
24.3,19
17,24.6
16.7,16.2
24,20.8
16.3,15.6
26.2,16.1
23.2,17.1
24.6,13.7
23.9,18.6
19.2,12.3
22.5,18.9
13.6,20.4
18.9,10.4
20.3,24.4
16.3,10.8
18.5,18
22,20.8
26.9,11.1
26.5,17.4
23.6,14.4
21.7,15.6
19.4,18.4
19.4,17.7
21.1,15.6
20.3,16
18.5,14
20.7,14.7
17.5,11.3
23.6,15.6
22.2,13.8
19.5,24.2
18.1,12.5
24.8,12.9
21.6,16.1
20.2,17.6
18.7,22.6
21.5,15.3
20.8,17.3
13,37.7
15,35.2
24.2,14.2
18.3,29.4
21.8,17.3
20.9,19.7
19.1,22
22.9,12.8
20.8,15.7
18.1,28.4
16.6,20.1
22.2,15.5
20.4,19.4
17.1,26.5
15.5,18.1
19.3,15.9
26.7,14.8
28.1,12.7
18.7,27.5
17.8,33.8
23.2,13.1
20.3,18.9
17.5,30
18.8,18
17.5,20.1
20.1,14
19.8,26
18.7,26.3
19.1,11.4
19.8,22.9
19,11.8
20,17.9
19.5,25.5
18.8,27.9
16.8,29.3
20.6,15.2
15.3,20.5
20.4,20
22.2,15.1
22.7,17.9
22.7,10.8
25.1,12.7
19.5,22.7
20.5,22.5
17.1,23
22.8,19.5
21.6,21.1
22.6,14.5
15,33.9
21.4,14.3
22,18.2
20.8,22.6
7.4,52.9
21.4,19.6
19,18
19.2,12.4
18,23.2
20.8,13.2
20.2,18.7
19.8,17.3
25.4,15.6
28.1,11.8
26,14.1
20.6,17.8
19.3,14.2
23.2,15.9
27.4,11.2
25.2,12.8
25.4,15.4
23.5,16.5
25.2,14
21.5,16.7
25,14.7
21.9,18.6
29.1,10.2
20.4,10.3
26.2,14.1
22,14.3
19,12.5
25.2,11.3
25.6,16.7
24.2,12.5
23.6,16
19,13.3
22.2,13.6
22.6,4.1
22.6,16.5
26,11.9
17.6,9.7
21.8,23.3
28.3,8.3
25.9,15
24.6,10.6
24.7,12.3
26.8,14
26,11.8
26.6,14.7
25.7,12.4
21.2,16.9
24.9,16
19.8,17
21.8,17.9
24.7,15.4
23.7,10.4
20.9,15.2
19.8,15.7
24.9,13.6
26.9,10.3
25.2,18.4
27.7,11.3
26.9,10.8
22,19.1
25.1,15.8
26.7,15.1
17.7,25.6
23.9,16.2
23.5,15.7
28.9,11.1
21.9,18.7
23.2,10.4
20.5,22
24,17.4
23.1,17.7
25.6,13.3
25.7,16
19.1,26.2
27.8,8.6
23.2,17.4
26.5,13.6
16.3,20
24.4,16
22,16.7
21.4,20.6
23.6,15.7
27.1,10.4
25.7,11.7
22.3,18.2
25.7,13.5
24,15.5
27.5,14.2
24.1,17
22.6,15.3
19.6,15.5
24.5,15.4
20.7,16
25.6,12.1
24.8,16.2
26.8,10.7
28.7,7.5
19.1,20.7
28.8,7.7
24.8,11
18.9,15.7
19.9,14.9
23.1,15.6
21.8,17
25.2,15.9
19,21.7
22.4,18.6
23.4,19.6
23.7,14.9
20.9,16.8
22.2,15.5
23,18.2
25.3,13.3
24.3,12
27.1,11.9
26.8,13.5
21.6,18
27.8,9.5
22.3,13.3
20.9,20.3
25.4,15.6
24.9,14.6
26,14.9
19.7,18.9
21.3,21.5
17.6,27.7
18.3,25.5
20.6,20.9
23.7,12.6
25.6,12.8
27.7,14.7
22.7,16.8
21.8,21.8
24.5,16.1
22.4,18.3
15.4,15.3
24,14.8
18.8,19.1
18.5,22.4
21.2,12.5
21,18.2
17.7,15.3
23.6,17.7
24.1,16.8
25.1,14
27.3,15.2
13.8,32.2
24.5,15
25.3,13.7
26.3,18.6
19.1,19.6
16.8,31.3
22.4,17.8
22.7,16.6
25.9,14.2
23.8,16.2
21.5,20.3
22.3,16
24.4,14.7
21.3,19.7
16.9,12.8
21.3,20.6
27,12.7
18.8,16
21.7,21.4
22.7,17.9
22.7,16.9
22,17.5
21.5,15.8
22.3,17.4
22.3,15.1
22.1,22.1
21.4,22
22.5,21.3
22.4,21.4
20.2,24.3
23.8,16.9
21.5,14.8
22.7,17
21.8,18.4
26.6,16.2
25.3,14.6
23.6,21
20.6,22.3
24.1,19.2
22.6,21.5
22.9,18.4
20.5,19.7
21,22.4
23.8,19.4
24.3,17.6
22.8,19.6
22.2,20.9
22.7,18.3
25.5,16.9
28.6,11.2
28.9,17.5
21.8,18.3
23.8,18.1
23,18.8
19.1,24.2
23.1,16.2
21.6,19.2
21.2,20.4
23.1,20.7
22.8,20.1
22,21.6
22.9,21.4
23.4,19.8
22.2,21.7
23,19.4
22.7,20.2
21,21.2
22.6,19.1
22.3,17.6
25.2,19.7
22.9,20.3
23.8,21.6
23.3,18
22.3,19.8
22.5,18
16.8,18.8
20.4,9.9
21.8,18.5
23.2,20.1
21.9,22.5
21.6,18.6
23.8,14.3
23.2,16.6
23.3,21
28.1,16.9
26,16.3
23.7,16.9
24.1,16.4
24.9,17.5
24.2,15.8
23.9,21.5
21.4,24.6
23.6,19
22.6,20.8
25.4,15
23.6,20.6
23.2,20.2
20.6,20.8
22,21.4
25.1,17.6
22.6,22.3
25.2,11.7
23.7,15.7
20.4,19.2
23.3,25.3
22,22.3
24.1,14.4
22.7,22.4
26.9,14.5
17.1,10.7
24.1,19.2
23.1,21.1
23.1,18.9
23.3,20.8
22.4,17
