BPS030214,LND110210,Density
131,594.44,91.8
1384,1589.78,114.6
8,884.88,31
19,622.58,36.8
3,644.78,88.9
1,622.81,17.5
2,776.83,27
114,605.87,195.7
8,596.53,57.4
2,553.7,46.9
78,692.85,63
0,913.5,15.2
11,1238.47,20.9
0,603.96,23.1
1,560.1,26.7
58,678.97,73.6
143,592.62,91.8
3,850.16,15.6
0,650.93,17.7
8,1030.46,36.6
2,608.84,22.8
77,734.84,109.4
17,561.15,89.6
17,978.7,44.8
31,777.09,91.5
259,618.49,128.2
26,945.08,40.5
79,534.99,195.2
0,627.66,27.5
13,633.82,50
8,574.41,46.6
4,647.11,14
8,643.94,24.5
17,561.75,30.8
311,579.82,175.1
39,1077.87,49.4
2280,1111.28,592.5
0,604.85,24.1
54,667.7,138.8
0,690.68,49.7
943,607.54,230.8
140,559.94,147.8
5,715.91,15.8
1,608.89,35.2
2677,801.59,417.7
0,976.88,21.5
0,742.29,41.5
28,565.84,164.4
746,1229.44,335.9
0,1025.68,22.5
734,784.25,292.5
136,579.34,206.3
0,719.66,14.7
3,881.41,22.4
44,672.09,48.9
0,580.55,39.5
244,641.14,82.6
896,784.93,248.5
80,631.9,132.3
3,903.89,15.2
65,736.78,111.7
16,716.52,58.1
1375,1321.76,147.3
8,791.19,84.7
2,1080.21,16.3
0,888.5,13.1
7,612.98,39.9
18,988.77,19.2
0,925.35,23.6
8,554.28,74.9
2218,847.36,261.2
12,590.23,62.5
1,649.23,17.7
0,628.58,8.5
10,630.09,43.6
6,644.3,18.3
3,866.07,26.6
3,639.47,25.2
26,553.69,46.9
0,597.78,14.5
49,766.05,32.1
10,552.25,38.5
671,707.21,136.4
43,593.09,104.4
95,609.76,83.5
18,616.38,29
1,667.39,12.2
7,768.15,16.9
4,828.36,22.3
341,647.88,174.8
0,608.86,29.8
1,618.19,19.8
43,677.78,141.7
9,631.81,28.3
193,577.7,72.9
3,727.52,31.1
0,615.2,53.5
3,588.55,23.4
48,763.95,48
3,580.58,23.6
5,633.94,28.4
55,870.75,88.9
3,659.8,38.7
0,528.27,14.5
3,587.61,29.6
0,602.62,17.3
0,561.52,25.2
1,532.25,24.7
8,708.13,31.6
263,770.73,88.7
0,834.26,18.8
2,597.01,27.9
37,625.58,69.5
30,900.57,51.6
1,607.12,13.4
0,779.88,12.2
0,617.84,14.6
1,820.9,10.1
3,732.78,35.6
1,551.4,18.9
34,695.66,31.3
0,600.62,18.8
9,758.39,32.4
2,857.68,24.1
53,812.55,76
11,647.96,13.4
1142,759.76,503.8
11,652.19,27.6
326,723.6,148
42,892.32,12.6
0,666.1,12.3
414,531.91,236.4
8,565.13,30.2
8,604.44,28.6
0,634.77,44.5
8,606.41,20.4
87,1039.21,40.1
3,708.14,24.4
1131,941.97,215.6
116,1035.08,74.5
0,586.79,12.4
1,929.98,23.9
38,11197.52,6.4
261,6165.69,21.3
560,18618.89,7.2
101,4757.93,11.3
87,4622.6,8.1
1,1843.13,4.6
26,4499.63,4.6
18597,9200.14,414.9
535,13311.08,15
191,9950.42,10.8
3250,9187.04,106.7
1744,5365.61,70
44,1236.92,38.3
968,8123.5,26
594,5513.99,35.5
3438,739.02,2043.6
3,738.33,1.6
22,594.58,64.1
550,1636.46,134.4
70,1020.01,44.7
58,1150.73,18.6
2001,715.94,1465.2
9,1006.37,28.4
190,1707.88,106
1892,5957.99,156.2
30,1313.95,21.4
234,3567.99,37.7
246,4176.6,41.8
7,10180.88,1.8
2297,8131.92,103.3
434,1389.42,110.1
45,1256.46,51.5
6,4541.18,7.7
17659,4057.88,2419.6
214,2137.07,70.6
390,520.31,485.1
24,1448.82,12.6
109,3506.34,25.1
169,1934.97,132.2
8,3917.77,2.5
29,3048.98,4.7
361,3280.6,126.5
147,748.36,182.4
290,957.77,103.1
9291,790.57,3807.7
1990,1407.01,247.6
32,2553.04,7.8
6761,7206.48,303.8
1761,964.64,1470.8
105,1388.71,39.8
3405,20056.94,101.5
6875,4206.63,735.8
2711,46.87,17179.1
1265,1391.32,492.6
983,3298.57,81.7
1461,448.41,1602.2
755,2735.09,155
9932,1290.1,1381
291,445.17,589.4
242,3775.4,46.9
4,953.21,3.4
19,6277.89,7.2
646,821.77,503
663,1575.85,307.1
454,1494.83,344.2
79,602.41,157.3
78,2949.71,21.5
30,3179.25,4.3
1092,4824.22,91.7
55,2220.88,24.9
1314,1843.13,446.7
218,1014.69,197.9
201,631.84,114.2
1115,1167.65,378.2
52,722.64,21.4
1897,798.1,716.7
75,1350.18,8.9
0,2554.97,1.5
0,1512.86,4.3
1371,726.29,405.6
820,33.03,1691.9
105,1013.4,17.6
1,1778.28,1
11,395.23,23
13,1287.39,6.4
30,1226.95,2.9
7,787.42,7.4
43,738.63,5.8
47,1142.05,27.1
5958,153,3922.6
1,1067.05,1.9
3230,840.25,339.7
256,1684.53,31
116,1850.85,12.5
3533,2126.8,292.6
55,1533.07,30.5
83,2947.56,19.1
13,149.9,36.3
137,1846.33,8
58,3239.1,4.7
6,1117.25,0.8
13,1591,4.2
0,1613.72,0.9
2519,764.21,699.5
0,1767.77,0.8
2,2160.82,3.8
0,376.91,19.4
278,1692.08,30.3
2498,2596,115.4
5,4772.67,3.2
2,2577.63,2.1
19,1838.55,12.4
504,3328.97,44.1
6,875.67,0.8
9,4743.29,2.9
15,2029.53,12.6
89,2240.7,18.4
20,1280.43,22
2,1261.96,14.9
33,541.59,8.2
88,2193.85,7.4
9,687.93,6.5
98,970.7,17.7
1,1638.4,7.7
157,2386.1,66.7
10,3220.93,2.1
12,911.96,13.1
132,2362.03,10
32,3168.53,1.9
0,387.49,1.8
36,1286.61,5.7
1,548.04,4.3
207,608.36,46
140,557.06,41.9
5,2518.03,1.9
2708,3987.24,63.4
3,2364.41,4.2
1889,624.89,1467.2
962,735.1,1216.2
145,920.56,206.3
228,369.3,448.6
1140,604.51,1426.7
646,664.88,412.2
203,410.21,372.2
116,512.91,230.9
4189,61.05,9856.6
998,586.18,276.9
1908,426.29,1263.2
2288,936.08,210.6
762,875.02,282.7
47,585.23,46.3
601,758.46,222.6
2,293.96,97
1286,1015.66,535
2462,1209.79,1444.9
8,567.33,25.8
610,680.28,235.2
233,581.7,242.8
915,604.36,315.8
3610,1998.32,160.9
80,797.57,84.7
112,637.06,54.7
24,705.05,23.3
3446,762.19,1133.9
698,656.46,453.4
548,485.46,197.1
8,534.73,21.6
23,516.33,89.8
37,349.68,48.4
14,806.01,16
92,564.01,28.1
9,513.79,28.8
17,637.78,43.5
24,1152.75,34
378,472.54,365.6
92,1016.62,97.2
7490,1020.21,1204.9
31,478.78,41.6
707,502.87,274.5
29,917.76,54.2
17,598.1,24.7
11,543.41,16.3
2488,938.38,316.6
4095,784.51,788.7
1114,666.85,413.1
49,1118.21,36.5
9,835.56,10
33,695.95,27.6
3565,742.93,434.5
754,1584.55,209.1
432,543.46,269.2
7731,1897.72,1315.5
188,983.28,74.3
587,648.64,113
590,930.25,194.4
17,768.91,52
9246,903.43,1268.5
3414,1327.45,202.4
5066,1969.76,670.2
2785,746.89,622.2
1733,273.8,3347.5
2559,1797.84,334.9
29,727.62,102.2
1127,1011.61,149.6
2093,555.87,682.6
967,309.22,1367
2786,600.66,316.4
962,571.93,485.7
2570,546.93,170.8
41,688.55,60.3
24,1043.31,21.6
22,243.56,63.8
1373,1101.03,449.2
106,606.42,50.8
1076,1037.63,53
21,582.8,42.7
3,507.08,36
0,339.38,24.7
0,258.58,42.9
0,341.94,10.1
39,257.84,177.3
17,232.09,79.3
444,160.31,432.7
221,459.54,217.9
11,250.12,70.5
15,451.9,42.7
92,249.76,622.8
16,215.87,60.5
11,442.36,41.6
15,493.05,32.9
412,435.97,69.3
521,672.81,104.4
43,826.97,28.2
12,184.39,128.3
0,280.37,23.9
126,613.03,82.4
0,243.04,45.3
111,499.08,221.5
144,162.16,394.3
7,773.58,15.7
1317,426.44,621.7
3,248.74,45.3
0,313.34,83
2123,421.67,508.3
538,119.2,979.1
5,195.38,16.3
340,141.57,1832.5
4,800.22,8.5
3103,339.55,2026.4
35,575.1,73.7
88,544.15,83.6
1289,290.09,427.6
33,227.16,75.8
745,440.89,288.8
20,324.89,38.9
12,272.58,86
1,173.98,95.6
177,210.83,105.9
32,597.14,46.6
1231,267.58,2585.7
8,495.89,44
0,391.94,38.1
80,328.69,287.7
224,200.07,661.8
9,512.59,21.5
1,414.89,9.7
482,477.7,109.4
12,351.06,57.4
7,680.6,33.2
20,182.85,60.2
168,386.72,61.2
314,194.34,548.3
75,509.91,188.9
3194,224.02,783.5
2,261.5,84.5
8098,526.64,1748
102,426.54,66.3
0,143.74,21.4
427,419.75,189.7
63,355.81,155.1
31,454.53,55
203,387.44,41.3
3379,430.38,1871.2
35,276.74,155.5
722,392.78,457.5
15,471.84,20
23,282.17,102
113,463.87,69
35,232.39,108.5
15,296.03,40
1047,322.13,633
602,375.54,372.5
10,354.34,26.9
455,339.66,178.1
53,368.17,37.8
1,330.74,45.6
5,526.49,32.2
10,347.28,24
0,303.01,32.9
28,393.93,72.8
18,183.5,99.8
15,185.26,54.4
9,807.3,60
175,355.78,79.5
242,489.8,129.5
17,210.38,38
0,400.29,36.1
379,496.07,220.2
91,282.93,105.9
3,400.64,36.8
66,282.31,99.6
10,366,23.9
19,257.46,85
24,424.3,33.8
24,501.22,43.9
0,282.42,21.7
10,512.09,45.9
77,395.66,66.8
11,239.52,38.1
52,347.35,51.4
22,344.47,115
585,216.39,877.5
181,272.16,367.3
299,184.29,178
27,439.01,33.9
930,312.22,455.8
161,150.27,184.3
53,232.06,126.8
38,316.49,59.3
26,216.09,82.7
10,310.33,133.6
17,249.03,48.2
35,344.64,61.6
5,151.24,16.6
47,369.99,44
0,428.24,18
730,324.33,618.4
133,129.79,656.5
0,166.91,30
10,645.1,22.6
4,235.23,37.1
141,196.47,326.1
25,179.13,146.1
0,458.73,13.2
11,482.7,68
10,391.39,17.5
2,194.61,8.8
17,479.4,53.2
11,376.69,23.6
0,437.3,37.7
3,335.44,27.8
71,544.6,82.1
59,258.92,154.9
23,364.01,74.8
103,166.56,62.9
0,199.44,34.5
133,413.99,161.9
65,285.39,31.3
1,358.4,25.2
87,321.93,66.3
22,323.44,84
84,446.38,154
271,325.68,257.2
94,892.46,40.7
0,284.3,20.5
53,678.45,31.2
4,641.78,46.9
0,209.12,13.4
0,295.48,25.1
38,240.69,112.8
99,290.46,353.2
0,377.71,24.5
3,469.49,22.6
1,447.31,21.4
13,570.7,38
958,4028.42,45.9
1578,600.74,1586.7
192,619.96,108.2
338,1161.52,133.3
8,569.27,13.5
1,423.44,9.5
41,639.08,22.4
6,497.29,25.9
5,442.96,13.8
28,716.27,36.4
314,565.77,231.7
44,571.57,46
74,435.48,55.7
27,571.02,36.7
8,574.92,35.2
21,580.13,25.6
12,569.97,17
26,569.44,36.6
12,564.27,24.7
29,579.44,31.9
86,568.31,77.7
6,576.91,20.9
5,504.38,24.7
1,431.17,21.5
14,567.24,29.4
28,778.54,23.3
102,694.92,70.7
11,714.19,23.9
661,588.45,112.4
4,502.19,17.4
2,531.88,15.9
5,577.76,30.7
41,416.12,96.9
134,380.61,43.8
276,608.31,154
48,395.88,26
24,730.81,28.6
21,500.63,32.6
3,581.97,18.4
10,511.15,14.6
6,569.57,16.4
19,501.86,24.8
10,590.62,18.5
5,576.75,27.2
20,571.01,19.9
7,569.31,30.8
29,696.85,21.4
20,434.33,46.4
1,473.25,20.2
24,434.35,22.6
11,431.51,16.4
23,586.46,27.9
35,636.04,31.2
33,730.42,50.4
14,435.51,38.7
1080,614.04,213.1
15,575.62,35.9
0,579.18,18.1
19,972.72,16
22,517.52,69.3
838,716.88,294.6
9,401.77,28.3
3,430.59,20.7
55,587.65,19.7
55,561.01,27.9
64,570.86,39.2
125,554.53,60.1
10,572.5,71
3,437.44,34.4
25,469.13,23
7,694.07,13.3
82,433.72,18.4
13,424.1,25.3
51,437.47,97.7
22,573.04,25.1
1,398.68,16.2
11,534.94,29.8
2,563.84,16.7
37,862.89,29
4,577.24,12.7
3350,573.8,750.5
122,950.28,98
123,584.93,32.3
2,535.5,9.6
5,575.01,18
365,458.09,360.7
16,590.78,20.6
112,768.33,43.9
539,572.82,156.3
17,721.01,24.6
4,531.9,11.9
7,423.65,29.6
0,484.79,15.6
22,431.83,82.5
360,569.83,81.1
24,568.84,38.2
0,525.44,12.2
20,715.62,53.1
6,400.49,27.1
47,689.87,30.5
151,872.83,117.1
4,400.12,19
12,580.42,22.8
3968,1052.58,372.8
4,1363.06,2.9
162,1111.99,74.5
35,974.79,6.1
14,776.62,12
88,2093.98,21.8
89,2643.59,8.1
32,1899.24,3.7
55,1734.57,23.6
398,1866.08,55.9
51,1268.56,8.6
5,2231.67,1.3
3,1074.49,1
1130,587.37,321.6
9,1764.15,3.9
46,2565.08,8.9
3,1764.19,0.6
19,2457.27,3.6
0,4920.94,0.9
57,3074.74,8.8
35,663.65,19.3
65,1863.53,7.1
37,560.9,29.8
13,728.97,21.2
1,8477.35,1.9
79,1093.5,23.9
57,597.19,37.5
1047,1244.13,111.3
136,1076,34.6
11,4563.39,1.7
10,478.8,8
4,1201.41,4.3
386,469.21,80
29,757.59,26.5
55,848.09,46.3
18,1200.06,3.6
16,7665.51,1.5
110,406.87,55.6
8,1404.24,5.6
7,2629.67,4.9
28,449.46,22.6
361,1921.21,40.2
99,3664.52,2.7
17,1452.98,7
83,855.2,78.5
0,235.51,35
12,380.28,46.7
11,280.72,193
0,305.61,22.7
15,869.03,40.2
12,253.83,20
17,444.81,34.6
8,375.82,36.3
1458,996.27,201.8
29,709.38,49.1
7,501.42,32.6
4,468.32,29.5
85,474.09,79.7
16,508.29,106
7753,945.33,5495.1
5,443.63,44.7
0,346.02,31.9
45,631.31,166.6
25,397.51,41.7
25,416.67,48
1341,327.5,2799.8
45,623.37,29.8
0,222.42,30.2
25,478.78,71.5
4,716.48,30.9
11,485.62,29
7,408.89,96.8
44,865.6,42.8
0,323.07,17.3
27,543.02,25.6
194,418.04,119.8
0,434.67,19.5
5,793.73,24.1
0,177.53,24.3
6,378.87,19.3
43,822.99,61.3
28,1117.32,26.6
130,584.08,103.1
0,494.51,19.6
7,571.17,68
25,369.27,62.2
28,601.09,37.7
0,343.92,36.6
1283,520.06,990.8
127,676.56,167.7
283,320.34,358.2
27,716.4,73.9
1341,443.67,1585.6
147,1135.12,100.4
42,372.18,45.2
21,724.9,49.7
22,1044.29,37.3
13,618.06,49
53,580.69,190.8
47,862.91,55.4
525,715.58,376.3
0,572.36,68.9
1,386.79,32.7
1,539.24,27.2
2,237.22,65
8,589.41,55.3
558,603.17,511.9
246,1183.38,143.3
24,314.44,40.4
6,561.2,29.3
118,385.01,85.6
24,703.69,42.8
2,568.79,62.5
40,335.94,44.2
38,758.57,70.5
174,619.21,301.2
50,441.76,50.6
20,439.2,38.1
20,831.38,19.8
0,368.77,12.1
3,199.19,30.9
13,160.16,37.5
21,575.5,58.2
4,359.99,45.1
241,427.64,345
0,379.82,65.6
431,868.3,227.4
0,437.27,17.3
0,250.91,21.3
32,758.52,29.5
762,657.76,410.6
3,288.08,20.8
8,564.52,84.5
637,648.97,208.6
13,413.46,43.1
6,898.37,90.9
1,223.25,53.5
6,542.41,32.6
20,562.57,26.2
1,713.81,23.5
1,494.77,29.6
19,684.25,85.5
1185,836.91,809.6
115,420.15,157.9
139,513.36,575.2
75,527.8,73.3
79,339.03,101.4
1115,657.31,540.6
254,406.91,188.7
2,406.42,21.8
3,165.08,77.3
526,422.91,133.9
48,311.98,48.9
24,372.22,54.1
12,412.16,94.5
531,372.86,295.6
14,357.54,75.2
24,405.07,82
0,305.64,35.1
4,429.49,73.7
65,305.03,164.1
50,372.57,69.1
94,362.82,116.4
98,392.12,300.1
124,427.27,98
270,463.17,426.5
11,215.01,112.9
142,147.94,504.1
2,395.66,43.6
35,384.43,60.1
15,368.39,56.6
121,487.49,68.7
68,414.07,169.2
0,542.5,61.1
3684,394.27,696.4
395,306.02,228.8
84,484.52,81.2
1145,406.91,357.4
18,391.88,126.2
140,293.06,282.4
53,382.65,97
178,509.31,83.2
51,559.63,59.8
21,383.91,55.4
29,360.63,89.9
47,376.58,75.7
668,320.43,435.8
34,516.03,74.5
261,531.38,145.6
121,379.62,97.8
908,498.96,994.1
125,598.3,186.3
42,449.17,102.7
92,451.92,291.3
1195,396.3,2279.6
83,443.63,106.1
8,335.74,30.8
10,373.84,98.7
521,394.51,349.7
45,504.61,75.6
129,403.97,170.5
22,401.76,35.5
87,410.84,115.7
20,86.14,71.1
1,398.39,49.8
18,385.29,56
26,444.66,39
48,381.73,50.7
20,334.24,38.4
448,418.15,393
55,409.57,63.3
13,433.65,30.9
65,480.53,79
6,452.38,57.9
86,446.43,64.6
10,408.12,42.6
26,190.4,127
59,411.15,108.1
36,396.74,52.8
428,457.85,583
36,309.13,75.6
98,308.94,110.7
2,447.14,48
54,220.63,48.1
1055,499.81,345.7
7,260.54,61.2
3,161.22,46.6
322,233.48,769.7
1,256.88,63.1
321,403.31,267.4
24,412.43,79.7
19,364.68,23.3
304,384.82,155.1
32,513.73,55
85,401.74,171.5
36,368.09,75.1
31,505.13,48.8
94,335.57,99.2
13,500.3,26.7
11,579.65,14
2,431.17,39.3
0,1134.07,4.3
58,895.4,30.9
2,635.47,23.9
2,570.87,17.5
143,1429.86,46.1
0,773.06,3.6
0,638.88,5.7
9,587.57,36.8
0,1019.89,2.7
0,974.63,2.3
22,645.3,13.2
1,715.34,13.3
21,626.95,13.7
0,788.3,2.4
35,1125.75,32.3
135,589.76,66.4
0,893.52,3.3
26,847.07,23.3
3,393.41,20.2
347,455.87,243.1
1,621.89,4.9
0,644.27,4.5
69,899.91,31.6
3,715.85,9.1
14,1301.97,28.2
43,1098.27,30.8
31,571.76,45.5
141,384.62,89.3
15,1071.67,2.5
0,898.52,2.9
4,574.8,13.6
18,868.87,6.9
3,778.45,1.6
0,1143.3,5.9
0,996.51,2.7
6,801.27,7.5
73,539.75,64.3
1,577.52,7.4
0,859.99,2.2
7,656.22,20.5
34,532.57,35.9
2,909.78,3.4
2689,473.38,1149.6
0,870.54,4.6
11,863.36,9.1
2,722.64,3.5
5,645.3,33.5
0,717.46,2.4
220,462.83,164.7
1,719.4,4.5
42,594.06,16.3
1,1072.99,2.6
17,847.47,39.8
17,944.29,13.4
45,900.18,11.2
124,898.27,32.5
1,978.09,4.7
50,575.66,57
4,701.79,9.1
1,643.53,55.1
2,695.28,8.5
0,729.73,4.4
19,717.43,14.2
5,571.47,28.9
1,1074.75,2.9
5,878.13,6.5
17,705.52,23.1
0,892.5,4.3
5,720.73,8.5
0,754.26,9.2
18,885.88,6.4
220,841.02,25.7
3,735.05,13.1
3,1069.42,2.4
47,1255.35,51.4
25,717.37,6.9
23,726.24,13.9
