Edu_highschool,Edu_batchelors
85.6,20.9
89.1,27.7
73.7,13.4
77.5,12.1
77,12.1
67.8,12.5
76.3,14
78.6,16.1
75.1,11.8
78.3,12.8
76,12.9
75.2,11.8
78.3,11.2
76.5,9.2
76,9
82.4,22.5
83.5,17.7
77.3,8.8
75,9.8
78.4,14.2
76.7,12.7
79.8,14.8
84.1,17
77.5,14.2
70.6,10.7
86.6,21
76.2,11.7
81.8,14.8
74.9,13.2
72.5,11
77.2,10.4
76.2,12.8
77.4,12.8
80.1,16.6
83.9,19.7
74.6,13
87.4,30
76.1,9.5
83.8,21.1
77.1,11.9
86.7,32.5
81.5,22.7
73.9,14.4
80,19.6
90,38.5
83.7,17.4
74.6,9.5
76.2,15.2
83.9,20.7
76.1,10.6
85.6,31.5
81.4,19.9
70.2,10.4
79.7,11
81,23
72.6,11.1
80.4,16
91.2,40.3
82,15.5
75.5,14.9
78.9,13
79.2,16.3
86.6,27
76.4,10.5
80.5,9.5
76.1,11.1
72.7,10.4
84.1,12.4
84.2,12.2
87.6,16.5
85.8,28.7
85.4,15.4
76,10.8
80.5,7.4
84.6,17.3
74.2,12.6
86.2,21.4
76.1,9.5
84.5,16.8
84.8,13.8
85.4,20.3
84.5,14.7
84.9,24.4
82.2,14.3
79.1,13.9
79,11.4
82.1,10.2
76.9,12.7
81.3,19.1
89.4,27.2
82.1,12.4
83.7,10
86.8,20.9
84.9,17.6
82.8,14.7
81.7,14.1
83.4,12.3
76,12
82.5,14.4
79.8,11.7
75.6,8.8
83,17.5
79.7,14.7
77.5,10.7
77.4,10.4
70.1,7.1
73.5,7.9
83.4,10.6
81.3,11.7
86.7,18.2
76.6,10.3
83.6,12.9
85.1,13.9
77.8,13
75.3,11.3
82.3,12.9
82.1,12.8
79.8,12.7
84.7,15.5
84.6,11.9
72.8,12
80.1,13.8
73.3,8.6
85.1,12.3
81.9,20.7
78.6,9.3
89.2,31.2
80.4,12.3
89.2,23.4
77,11.6
74.1,12
82.2,19.2
66.3,8.6
83,11
76,11.7
78.9,14.2
82.4,16.1
81.4,13.6
82.6,28.7
82.6,18.1
73.6,10.1
71.3,9.4
74.5,10.4
85.8,22.5
87.6,31.1
84.3,16.1
84.4,12.3
84.3,11.1
75.3,9.3
86.4,29.8
83.8,11.9
80.6,14.9
87.2,29.8
84.7,18
72.5,19.8
90.2,24.2
71.9,14.3
86.4,41.8
90.4,31.2
88.1,19.3
87.7,24.4
92.8,21.2
69.4,13.8
88.8,39
79.1,14
93.2,32
73.1,19.6
72.3,14.6
90.4,27.5
64.5,13.3
88.1,21.4
72.4,15
71,12.9
85.4,16.2
79.4,13.1
76.6,29.7
68.5,13.6
92.4,54.6
87.7,21.3
85.2,22
66.7,12.6
84.8,18.7
83.8,29.8
71,23
83.1,31.3
94.3,32.3
83.8,36.8
93.6,35.1
89.9,22.6
79.6,20.5
85.9,28
76.9,18.2
78.2,18.7
85.5,34.6
86.3,52.4
77.3,18.1
89.6,31.5
88.6,44.4
79.1,31.3
86.5,46.5
84.9,37
88.4,18.8
89.4,18.5
89,23.9
87.2,24.3
86.7,32.2
76.4,16.4
78.3,18.7
81.1,13.5
91.3,21.3
68,13.3
89.1,19.5
82.8,31.4
84.3,37.9
79,13.7
81.4,20.9
84.7,24.2
91.4,38.8
91.7,32.9
87.3,17.2
79.4,8.8
93.9,58.3
94.9,47.5
91.1,33.9
87,21.3
96.6,39.8
82.6,19.1
76.5,19.5
75.2,12.3
94.6,32.7
87.8,18.3
85.4,42.9
88.8,18.4
97.5,55.8
88.7,47
96.6,29.6
93.6,35.2
84.1,15.6
85.2,26.6
94.4,29.1
94.4,32.8
93.3,54.5
93.8,42.2
84.7,28
88.7,22.2
93.7,40.7
92.2,20.6
84,13.5
86.8,28.1
94.2,41.4
94.4,43.8
84.3,16.3
81.5,15.6
88.7,15.8
89.6,25.7
96.5,39.3
89.2,15.6
89.9,27.3
85.7,24.5
78.8,15.1
83,15.5
98.4,47.5
95.6,32
85.6,16.8
96,56.8
79.2,14.1
87.1,21.5
91.3,23.1
84.1,20.3
96.9,48
78,23.8
94.4,24.8
96.1,53.5
86.8,15
95.7,47.7
93.6,31.6
90.4,18.5
85.6,25.9
88,17.7
89,44.8
88.1,34.9
91.3,33.4
93.8,39.1
88.3,32.9
90.5,31.3
93,36.9
86.8,22.3
88.4,52.4
85.2,21.4
89.4,33.8
85.6,22.2
91.2,40.5
80.1,10
87,21.1
75.5,9.2
90.2,26.3
87.8,29.9
73.5,7.8
88.8,21.2
86,16.6
90.2,24
85.8,31.7
82.6,13.3
71.3,10.6
78.5,8.4
87.9,26.4
87.9,23.7
90.2,23.3
79.3,14.4
77.2,14.9
79.8,11.1
78,12.2
79.5,13.6
75.1,9.4
64.2,8.8
64.4,9.9
86.5,15.5
81,14.9
86.8,29.5
75.5,12
87,26.6
78,14.2
81.2,16.9
78.4,9.3
86.4,20.5
86.9,24.7
91.8,44.2
81.1,11.1
75.6,12.8
78.2,9.7
87.4,26.6
85,17.4
88.8,29.9
78.8,26.3
89.9,28
89.4,22.8
90.9,27.4
67.8,10.2
87.2,30.1
83.8,17.6
87.5,32.4
87.2,20.4
88.9,27.5
82.4,18.1
77.5,11.4
89.4,25.9
91.9,30.8
91.8,35
93.2,41.4
85.2,19.5
87.8,25.2
79.8,9.8
76.5,11.6
73.9,10
87.6,20.8
87.7,17.2
84.5,24.1
80.3,11.4
76.8,12.8
64.6,7.7
72.2,12.1
79.5,10.9
81.7,19
75.5,11.6
82.1,17.1
80.4,15.9
76.9,9.8
76.8,12.8
82.4,22.5
79.5,14.9
76.8,6.4
77.4,11.4
88,30.6
85.9,27.7
76.9,9.9
74.7,8.4
68.6,11.5
90.4,19.5
78.5,14.6
79.7,18.3
82.3,17.5
74.3,9.4
88.7,31.3
92.5,27.5
69,7.7
88.9,34.2
85.1,39.5
77.9,7.9
81.7,18
71.1,12.5
90.8,43.7
75.5,12.9
72.1,13.1
91.3,34.1
74.8,12.4
87.8,26.9
78.7,13
79.5,15.5
80.3,17
85.8,24.4
78.4,14.7
88.4,39.7
80.2,15.2
70.9,10.1
79.9,17.8
87.2,24.4
76.7,12.9
74.7,5.7
85.2,16.8
78.3,11.3
76.5,11.6
76.2,14.1
79,14.4
94.3,42.6
77.9,18.1
91.4,43.8
72.3,13
90.4,48.2
76.5,16.4
78.3,9.6
86.6,26.1
73.4,14.2
72.7,11.3
78.7,21.4
87,33.9
77.9,17.1
78.8,22.8
75.8,9.9
74.2,14.1
89.2,27.3
80.3,15.5
72.7,8.2
89.5,26.1
88.8,24
81.1,10.3
81.1,19.5
83.6,13.3
79.6,9.6
73.8,8.8
72.6,13.1
75.8,11.5
88.7,17.8
81.9,14.2
76.4,12
79.8,15
83.9,20.5
90.9,20.2
82.1,11.4
85,14
84,23.1
85,25.4
70.5,10.1
78.7,14.9
75.1,10.6
74.6,13.7
80.5,15.8
73,8.9
79.9,11.9
72.3,9.6
79.5,18.7
82.3,15.5
81.7,22.7
69.3,9.6
85.4,22.6
84.5,19.4
91.3,43.1
79,18
88.5,23.4
82.7,19.2
80.8,22.5
77.6,11.8
85.1,17
72.7,13.1
77.5,9.6
84.5,18.7
72.3,3.2
85.2,26.6
72.3,17.4
83.7,20.5
86.2,26
73,14.2
78.9,13
81.2,12.2
76.6,14.8
80.4,14.2
63.1,10
76.2,18.5
76.7,12.3
68.3,9.3
75.1,11.6
76.4,10.1
73.9,10.9
65.6,8.7
81.8,18.1
77.5,16
79.2,15.2
86.8,22.7
74.4,12.3
81.8,18.6
72.1,9.8
70.3,10.8
84.7,19.6
77.6,11.4
79.1,14
83.1,18.4
80.4,13.9
73.2,7.3
76.2,11.1
81.3,11.4
77.5,11.2
74.8,8.5
85.2,19.3
69.1,14
75.9,8.6
76.2,14.5
79.7,8.2
71.4,8.1
91,25.6
90.3,32.1
90.1,25.1
90.2,25.7
90.7,16.3
90.4,13.7
89,14.9
88.3,18.3
90.3,16.6
91.9,18.8
89.5,25.3
92,20.3
93.8,28.3
90.6,17.1
78.7,20
90.9,15
90.5,19.1
91.3,18.8
92.8,19
92.1,19.5
92,21
91.6,19.6
88.8,13.8
87.3,14.3
