BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7
4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3
464,6611,-5.6,1546,1667,0,0,0,0,0,27
275,3145,7.5,1126,1385,14.9,0,0,0,0,0
660,6798,3.4,3563,4458,0,0,0,0,0,23.2
112,0,0,470,417,0,0,0,0,0,38.8
393,5711,2.7,1095,1769,0,0,3.3,0,0,0
2311,34871,0.6,6352,8713,7.2,0,1.6,0,0.5,24.7
515,6431,-0.2,2354,1981,0,0,0,0,0,29.3
515,3864,5.5,1560,2180,0,0,0,0,0,14.5
703,7396,8.8,2719,0,0,0,0,0,0,0
255,2900,1.4,809,1102,26.2,0,0,0,0,44.1
586,6648,3.7,1640,2374,0,0,0,0,0,28.6
190,2993,4.6,792,1005,0,0,0,0,0,0
152,1548,-4.8,930,1280,0,0,0,0,0,17.7
954,12762,0.3,2602,4032,6,0,1.3,0,0.7,29.3
1226,19820,6.2,3630,4757,0,0,0,0,0,22.8
194,2197,-1.5,756,980,0,0,0,0,0,23
93,992,3.9,367,545,0,0,0,0,0,0
834,10824,0.7,2201,2957,0,0,0,0,0,0
211,3139,1,811,1027,25.8,0,0,0,0,30.2
1714,22185,3.6,5549,7873,1.1,0,1.1,0,0,23.9
766,11924,-1.6,2444,2951,0,0,0,0,0,0
757,10420,-1,2179,3148,49.1,0,4.4,0,0,28.8
1082,16841,3.9,4679,5908,0,0.8,0.6,0,0,25.8
1135,14056,-2.3,4850,6513,9.1,0,0,0,0,28.3
723,9977,1,2111,2765,9,3.2,0,0,0,21.3
2008,29796,-0.5,6988,9147,6.1,0,0,0,0.6,25.7
306,3323,-3.8,1073,1378,5.1,0,0,0,0,24.3
510,9369,-8,1863,2357,0,0,0,0,0,23.2
400,3791,2.8,1584,1736,0,0,0,0,0,0
99,1379,16.3,506,657,60.3,0,0,0,0,36.1
195,1966,0.2,762,882,0,0,0,0,0,0
293,2754,-2.4,1034,1091,0,0,0,0,0,18.2
2702,43139,0.5,6819,10151,12.1,0,1.4,0,1.3,25.5
856,12440,4.2,3098,4337,0,4.3,0,0,0,26.8
16232,319199,2,44987,55470,23.4,0.4,2.4,0,1.3,29.8
241,2943,4.6,932,1340,0,0,0,0,0,25.8
1967,25839,3.4,6576,8317,5.5,0,0.8,0,0,27.6
407,4232,-6.3,1990,2289,0,0,0,0,1.1,0
2500,38782,3.4,9361,10319,16.2,0,2,0.4,0,28.2
1308,15305,1.3,5417,5914,4.8,1.1,0.8,0,1.3,25.8
98,1835,-1.3,685,682,57.3,0,0,0,0,35.2
217,5381,3.2,1166,1584,66.7,0,0,0,0,0
