Income,INC110213,Poverty
24571,53682,12.1
26766,50221,13.9
16829,32911,26.7
17427,36447,18.1
20730,44145,15.8
18628,32033,21.6
17403,29918,28.4
20828,39962,21.9
19291,32402,24.1
22030,34907,21.2
20701,41250,19.5
20323,33941,21.5
18979,29357,29.3
18694,34002,19
19108,38019,18.4
23380,43768,18.6
21572,39077,17.9
15605,24658,32.7
18493,37277,20.9
20391,35869,20
21343,36275,19.1
20760,38847,18.8
22685,44889,17.4
17245,26519,35.5
18149,37851,19.9
23856,54766,13.4
16540,30687,25.4
20204,38013,19
18494,33838,19.9
18888,36415,21.9
20199,35625,21.2
14930,24226,32.9
18812,30051,26.6
21924,41650,14.4
23316,40948,18
20486,37634,16
26906,45429,18
19026,36028,22.3
23510,42844,17.2
20181,38551,17.5
23506,43542,22
25020,48619,14.7
18368,26230,26.7
16826,30724,27.3
31933,58434,12.8
22072,35079,24
19576,32888,20.9
20382,39526,19.5
22501,43028,19.8
15749,29203,28.6
24975,44790,21.2
23764,44800,15.7
13716,28209,25.6
17153,28741,27.2
19715,33090,27.6
19830,35213,24.5
19678,36143,22
33313,68770,7.9
23872,50786,15.2
14156,22186,38
19410,35439,22.9
21434,39130,19.8
22637,45408,18.9
20698,37566,20.9
20395,42156,18.4
13379,23642,39.2
18995,32900,24
23045,39633,15.8
19761,35683,18.9
21334,35343,15.5
26715,54515,12.2
22160,38506,16.6
19386,30409,31.3
17763,30980,14.9
20637,36584,18.8
16538,26201,33
17960,32721,24.3
18509,31502,20.2
23044,40246,15.8
20622,39420,17.7
19439,35128,25.4
20040,35225,24
23138,41393,20.6
19477,39479,20.2
19665,37751,26.3
18701,38085,17.4
16838,28931,19.7
19822,28680,30.1
17057,31171,28.5
24401,50314,14.6
19135,36766,20.5
19326,35522,18.7
23170,39162,20.7
23239,49004,9.9
19652,38413,17.1
17376,32056,27.4
19286,41193,14.2
18707,35879,23.2
20289,35026,23.7
18040,30661,18.7
15609,30284,28.4
19353,37140,23.9
19366,31003,20.1
17212,29732,24.1
15971,32239,25.4
12529,25034,31.5
15023,32697,27
19880,39673,14
19046,34996,17.6
23218,52582,13.2
18754,35771,22.6
18188,34494,18.9
20636,41319,19.5
18905,36428,24.9
16939,27263,28.8
19021,31345,22
18695,33694,26.5
17884,30038,23.5
18975,32015,23.1
22047,42455,15.6
16830,26737,33.5
18377,32206,24.8
16919,32089,28.1
19116,32835,23.1
19918,40453,19.3
18137,34855,21.2
27414,46013,17.2
18871,34418,21.8
25962,55348,8.6
18934,37448,20
16731,30779,26.1
23222,40471,21.2
16021,35153,24.4
16714,30861,23.9
15511,30873,28.4
17403,29832,25.5
20718,37435,21.5
18782,32517,24.5
23264,41248,20.7
21793,42487,17.5
19087,28259,24.3
16992,35535,22.7
12709,31476,36.2
23608,45755,17.1
23382,49555,23
20792,39954,21.6
17168,44943,22.3
20516,47992,16
22200,35776,19.4
27256,53596,16.7
20833,39200,19.4
16626,36927,30.3
25269,45841,19.2
20910,50027,15.6
17664,37745,26.3
25186,42987,15.8
18840,41595,20.2
35763,72112,12.5
25527,58636,16.6
27347,53684,12.6
23787,43752,20.4
29329,55295,10.9
21579,52158,12.5
38219,78756,10.5
19072,37909,21.8
34884,69297,9
20208,45563,26
22148,43023,18.8
23540,41426,20.4
