MAN450207,WTN220207,RTN130207,RTN131207,AFN120207
0,0,598175,12003,88157
1410273,0,2966489,17166,436955
0,0,188337,6334,0
0,0,124707,5804,10757
341544,0,319700,5622,20941
0,0,43810,3995,3670
399132,56712,229277,11326,28427
2679991,0,1542981,13678,186533
667283,0,264650,7620,23237
307439,62293,186321,7613,13948
0,155139,359910,8496,34073
0,52904,84633,5969,11345
571454,85803,344311,13034,23596
330878,0,70558,5123,4352
0,5888,133407,9080,4134
613758,131594,639623,13665,50080
2083166,351388,821284,15040,61935
183544,76736,71232,5430,8667
89585,31647,20531,1904,575
561168,338692,424873,11544,30271
270809,131874,75456,5491,5640
1393437,0,867058,10757,102291
114991,69341,332503,6889,37229
1174763,0,437359,10223,33708
1831626,0,635185,9303,67915
766344,104885,618313,7982,47884
665336,93125,379587,10089,31909
1252962,518424,1114841,10801,137966
186247,22463,130362,7433,10869
671954,67398,269096,8786,25389
153342,231687,170044,6612,10402
0,0,33639,3697,1226
0,0,86735,4794,3136
425821,0,92574,5559,7415
1310677,0,1909615,19608,177224
1525396,0,410988,7784,39315
10260950,13756797,11066328,16730,1268154
234908,0,70780,4887,6008
1083658,514555,1131585,12783,136587
0,23787,166958,4889,22719
0,0,1451634,11099,201205
947299,248292,723200,9785,68140
1156888,0,103636,8184,595
0,0,87509,3932,19354
8650700,2970410,4438653,14145,596324
542135,64589,197221,9274,16684
794483,162519,209924,7116,19081
3029491,1138701,1357696,15434,103539
12407151,3268730,5225494,12895,562436
1251911,92815,212618,9342,14796
7956627,3275567,3238175,14351,402861
0,1213925,1637628,14222,154700
0,10360,34121,3181,2632
107619,36581,113222,5805,6302
0,0,367926,12189,45692
401677,26751,161410,7209,9241
0,0,428236,8526,56392
1723017,4385596,2520488,13737,301893
985409,317458,581324,7404,70254
0,76499,59636,4494,8199
9054200,0,730728,9113,67078
0,0,362304,8881,28222
10852479,760623,2445850,13664,327429
314804,256377,903643,13162,73895
1153449,32856,76343,4458,0
0,21337,75708,6018,12949
797845,165638,166709,6853,16564
1702196,134593,286337,14825,15452
0,107302,170779,7673,15276
550061,0,486791,11633,60260
0,0,2390591,11332,295747
0,0,466894,12738,41893
176955,42794,71522,5978,6240
0,0,17859,3263,802
0,24110,265358,9728,53966
0,120552,67030,5446,6074
433867,0,247757,10461,32727
111760,116882,132637,8255,6345
205550,54394,282382,11169,29180
0,1230,12265,1404,0
1164275,0,197935,8143,21775
432551,124901,270351,13074,16218
1830332,605938,1440936,15768,146652
847991,0,452539,7666,53249
701251,795836,750517,14399,65142
0,174748,185706,9970,12504
184521,10852,79676,9727,4648
400820,230922,119201,8691,9790
156135,87552,198993,10645,19657
1587628,266098,1227650,11730,137881
327694,3128,140227,7748,10416
0,8179,42434,3598,5299
