SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
51.4,0.779,0.187,0.5,1.1,0.1,1.8,0.027,75.6
51.2,0.871,0.096,0.7,0.9,0.1,1.6,0.046,83
46.6,0.502,0.476,0.6,0.5,0.2,0.9,0.045,46.6
45.9,0.763,0.221,0.4,0.2,0.1,0.9,0.021,74.5
50.5,0.96,0.018,0.6,0.3,0.1,1.2,0.087,87.8
45.3,0.269,0.701,0.8,0.3,0.7,1.1,0.075,22.1
53.6,0.539,0.44,0.4,0.9,0,0.8,0.012,53.1
51.8,0.758,0.211,0.5,0.9,0.1,1.7,0.035,72.9
52.3,0.583,0.395,0.3,0.8,0.1,1.1,0.02,56.8
50.2,0.93,0.046,0.5,0.3,0,1.6,0.015,91.6
50.8,0.871,0.106,0.5,0.4,0.2,1.2,0.077,80.3
52.5,0.566,0.424,0.2,0.3,0,0.5,0.008,56.1
52.5,0.54,0.442,0.4,0.5,0,0.8,0.013,53.1
50.6,0.828,0.145,0.6,0.3,0,1.8,0.034,79.7
50.4,0.945,0.036,0.4,0.2,0.1,1.2,0.025,92.3
50.5,0.764,0.177,1.4,1.6,0.4,2.5,0.064,71.3
51.8,0.808,0.163,0.6,0.5,0.1,1.7,0.026,78.8
51.9,0.521,0.462,0.4,0.1,0,1.2,0.018,51.1
49.5,0.661,0.318,0.6,0.2,0.2,1.2,0.023,64.8
51.6,0.843,0.13,0.6,0.5,0,1.6,0.016,83.1
51.1,0.72,0.24,0.5,1.8,0.1,1.6,0.017,70.6
50.5,0.962,0.014,0.6,0.5,0,1.2,0.044,92.1
50.5,0.752,0.197,0.8,1.3,0.1,2.8,0.061,70.2
53.7,0.29,0.695,0.2,0.5,0,0.7,0.01,28.5
50.7,0.924,0.021,2.1,0.4,0.7,2.2,0.142,80.6
51.5,0.76,0.212,0.4,0.7,0.1,1.6,0.027,73.7
48.8,0.622,0.324,3.4,0.3,0.1,1.7,0.021,60.6
51.6,0.812,0.155,0.5,0.8,0.3,1.6,0.037,78.4
50.5,0.862,0.119,0.4,0.3,0,1.1,0.014,85
50.3,0.919,0.046,1.5,0.4,0.2,1.5,0.161,78
50.8,0.871,0.097,1,0.4,0.1,1.7,0.036,84.1
52.5,0.185,0.805,0.2,0.2,0,0.6,0.01,17.9
52.8,0.408,0.581,0.2,0.3,0,0.6,0.013,40
